 Product ID , LIGHTING , Bracket/N Bracket , TASK , WORK CENTER , DESCRIPTION ,UNIT TIME (MIN),
 BRPAT , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 BRV , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 BRVLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 BS , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BSLED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BSLEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BSPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BWD , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BWDLED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BWDLEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BWDPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BWI , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BWILED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BWILEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BWIPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BWLEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BWPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BWV , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BWVLED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 CCH , led , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 CCL , led , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 CCWH , led , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 CCWL , led , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 CU , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 CUA , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 CUB , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 CUBA , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 CUBS , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 CUBW , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 CUBWA , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 CUS , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 CUW , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 CUWA , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 D5 , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 D5S , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 D5W , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 DAYC , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 DAYCLED , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 DAYF , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 DAYFLED , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 DIA , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 DIALED , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 DUO , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 EL , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 ELS , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 ELW , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 FL , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 FLW , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 L2 , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 L2A , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 L2S , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 L2W , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 L2WA , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 LT , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 LTA , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 LTW , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 LTWA , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 MB , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 MBLED , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 MBS , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 MBSLED , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 MBW , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 MBWLED , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 MBWV , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 MBWVLED , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 PICD , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PICI , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PICR , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PICWD , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PICWI , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PICWR , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PMD , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PMI , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PMR , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PMRLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PMWD , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PMWI , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PMWR , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PO , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 POLED , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 PR , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PRLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PRS , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PRSLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PRW , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PRWLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PW , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PWLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PWS , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PWSLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PWW , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 PWWLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 RAY3 , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 RAY3P , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 RAY3S , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 RAY3W , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 RAY4 , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 RAY4P , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 RAY4S , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 RAY4W , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 RAY6 , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 RAY6P , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 RAY6S , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 RAY6W , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 RAY8 , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 RAY8P , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 RAY8S , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 RAY8W , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 SCD , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 SCDI , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 SCR , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 SCRV , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 SCS , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 SCWD , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 SCWDI , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 SK , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 SKPLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 SKSLED , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 SKVLED , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 SL , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 SL2HLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 SL2LLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 SLLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 SLW , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 SLWLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 SOL , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 SOLS , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 SOLW , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 SU , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 SUA , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 SUS , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 SUW , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 SUWA , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 TB , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 TBDILED , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 TBDILEDPAT , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 TBDLED , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 TBDLEDPAT , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 TBDPAT , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 TBILED , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 TBILEDPAT , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 TBIPAT , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 TBLEDPAT , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 TBPAT , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 TBW , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 TBWDILED , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 TBWDILEDPAT , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 TBWDLED , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 TBWDLEDPAT , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 TBWDPAT , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 TBWILED , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 TBWILEDPAT , led , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
