Fixture Type,Work Center,Lamp Qty,Option,ID,Task,Time(min),,,,,,,,,
surface,Single Saw,2,optioncbrs,13,"saw face plate in 5"" section",1.64,,,,,,,,,
surface,Single Saw,3,optioncbrs,1,"lamp support : saw 102"" extrusion in 2",0.714,,,,,,,,,
surface,Single Saw,3,optioncbrs,6,lamp support : saw in unit,2.85,,,,,,,,,
surface,Single Saw,3,optioncbrs,13,"saw face plate in 5"" section",2.46,,,,,,,,,
surface,Single Saw,4,optioncbrs,1,"lamp support : saw 102"" extrusion in 2",0.952,,,,,,,,,
surface,Single Saw,4,optioncbrs,6,lamp support : saw in unit,3.8,,,,,,,,,
surface,Single Saw,4,optioncbrs,13,"saw face plate in 5"" section",3.28,,,,,,,,,
pendant,Single Saw,1,optioncbpw,2,saw lamp support,0.238,,,,,,,,,
pendant,Single Saw,1,optioncbpw,9,"saw face plate in 5"" section",0.82,,,,,,,,,
pendant,Single Saw,2,optioncbpw,2,saw lamp support,8.4,,,,,,,,,
pendant,Single Saw,2,optioncbpw,9,"saw face plate in 5"" section",1.64,,,,,,,,,
pendant,Single Saw,3,optioncbpw,2,saw lamp support,12.6,,,,,,,,,
pendant,Single Saw,3,optioncbpw,9,"saw face plate in 5"" section",2.46,,,,,,,,,
pendant,Single Saw,4,optioncbpw,2,saw lamp support,16.8,,,,,,,,,
pendant,Single Saw,4,optioncbpw,9,"saw face plate in 5"" section",3.28,,,,,,,,,
wall,Single Saw,1,optioncbpw,2,saw lamp support,0.238,,,,,,,,,
wall,Single Saw,1,optioncbpw,9,"saw face plate in 5"" section",0.82,,,,,,,,,
wall,Single Saw,2,optioncbpw,2,saw lamp support,8.4,,,,,,,,,
wall,Single Saw,2,optioncbpw,9,"saw face plate in 5"" section",1.64,,,,,,,,,
wall,Single Saw,3,optioncbpw,2,saw lamp support,12.6,,,,,,,,,
wall,Single Saw,3,optioncbpw,9,"saw face plate in 5"" section",2.46,,,,,,,,,
wall,Single Saw,4,optioncbpw,2,saw lamp support,16.8,,,,,,,,,
wall,Single Saw,4,optioncbpw,9,"saw face plate in 5"" section",3.28,,,,,,,,,
recessed,Assembly,1,optioncbrs,28,screw ground wires to sub-ass CB lamp,0.3,,,,,,,,,
recessed,Assembly,1,optioncbrs,29,screw blank plate each side of sub-assembly (1screw ea),0.4,,,,,,,,,
recessed,Assembly,2,optioncbrs,28,screw ground wires to sub-ass CB lamp,0.6,,,,,,,,,
recessed,Assembly,2,optioncbrs,29,screw blank plate each side of sub-assembly (1screw ea),0.8,,,,,,,,,
recessed,Assembly,3,optioncbrs,28,screw ground wires to sub-ass CB lamp,0.9,,,,,,,,,
recessed,Assembly,3,optioncbrs,29,screw blank plate each side of sub-assembly (1screw ea),1.2,,,,,,,,,
recessed,Assembly,4,optioncbrs,28,screw ground wires to sub-ass CB lamp,1.2,,,,,,,,,
recessed,Assembly,4,optioncbrs,29,screw blank plate each side of sub-assembly (1screw ea),1.6,,,,,,,,,
surface,Assembly,1,optioncbrs,28,screw ground wires to sub-ass CB lamp,0.3,,,,,,,,,
surface,Assembly,1,optioncbrs,29,screw blank plate each side of sub-assembly (1screw ea),0.4,,,,,,,,,
surface,Assembly,2,optioncbrs,28,screw ground wires to sub-ass CB lamp,0.6,,,,,,,,,
surface,Assembly,2,optioncbrs,29,screw blank plate each side of sub-assembly (1screw ea),0.8,,,,,,,,,
surface,Assembly,3,optioncbrs,28,screw ground wires to sub-ass CB lamp,0.9,,,,,,,,,
surface,Assembly,3,optioncbrs,29,screw blank plate each side of sub-assembly (1screw ea),1.2,,,,,,,,,
surface,Assembly,4,optioncbrs,28,screw ground wires to sub-ass CB lamp,1.2,,,,,,,,,
surface,Assembly,4,optioncbrs,29,screw blank plate each side of sub-assembly (1screw ea),1.6,,,,,,,,,
pendant,Assembly,1,optioncbpw,24,screw ground wires to sub-ass CB lamp,0.3,,,,,,,,,
pendant,Assembly,1,optioncbpw,25,screw blank plate each side of sub-assembly (1screw ea),0.4,,,,,,,,,
pendant,Assembly,2,optioncbpw,24,screw ground wires to sub-ass CB lamp,0.6,,,,,,,,,
pendant,Assembly,2,optioncbpw,25,screw blank plate each side of sub-assembly (1screw ea),0.8,,,,,,,,,
pendant,Assembly,3,optioncbpw,24,screw ground wires to sub-ass CB lamp,0.9,,,,,,,,,
pendant,Assembly,3,optioncbpw,25,screw blank plate each side of sub-assembly (1screw ea),1.2,,,,,,,,,
pendant,Assembly,4,optioncbpw,24,screw ground wires to sub-ass CB lamp,1.2,,,,,,,,,
pendant,Assembly,4,optioncbpw,25,screw blank plate each side of sub-assembly (1screw ea),1.6,,,,,,,,,
wall,Assembly,1,optioncbpw,24,screw ground wires to sub-ass CB lamp,0.3,,,,,,,,,
wall,Assembly,1,optioncbpw,25,screw blank plate each side of sub-assembly (1screw ea),0.4,,,,,,,,,
wall,Assembly,2,optioncbpw,24,screw ground wires to sub-ass CB lamp,0.6,,,,,,,,,
wall,Assembly,2,optioncbpw,25,screw blank plate each side of sub-assembly (1screw ea),0.8,,,,,,,,,
wall,Assembly,3,optioncbpw,24,screw ground wires to sub-ass CB lamp,0.9,,,,,,,,,
wall,Assembly,3,optioncbpw,25,screw blank plate each side of sub-assembly (1screw ea),1.2,,,,,,,,,
wall,Assembly,4,optioncbpw,24,screw ground wires to sub-ass CB lamp,1.2,,,,,,,,,
wall,Assembly,4,optioncbpw,25,screw blank plate each side of sub-assembly (1screw ea),1.6,,,,,,,,,
recessed,Subassembly LED,1,optioncbrs,15,clean lamp support(oil),0.33,,,,,,,,,
recessed,Subassembly LED,1,optioncbrs,16,clip board wires in plastic bushing,0.19,,,,,,,,,
recessed,Subassembly LED,1,optioncbrs,17,clip bushing in lamp support hole,0.2,,,,,,,,,
recessed,Subassembly LED,1,optioncbrs,18,place thermal pad on lamp support,0.36,,,,,,,,,
recessed,Subassembly LED,1,optioncbrs,19,place board on thermal pad,0.51,,,,,,,,,
recessed,Subassembly LED,1,optioncbrs,20,connect wires to board,0.33,,,,,,,,,
recessed,Subassembly LED,1,optioncbrs,21,place reflector holder on board,0.19,,,,,,,,,
recessed,Subassembly LED,1,optioncbrs,22,screw reflector holder with 2 screws(drill+screwdriver),0.76,,,,,,,,,
recessed,Subassembly LED,1,optioncbrs,23,press reflector on reflector holder,0.27,,,,,,,,,
recessed,Subassembly LED,1,optioncbrs,24,"take face plate & clean, qc",0.15,,,,,,,,,
recessed,Subassembly LED,1,optioncbrs,25,press glass holder in face plate,0.2,,,,,,,,,
recessed,Subassembly LED,1,optioncbrs,26,place glass & lamp support in face plate,0.3,,,,,,,,,
recessed,Subassembly LED,1,optioncbrs,27,screw lamp support in face plate with 4 screws,1.5,,,,,,,,,
recessed,Subassembly LED,2,optioncbrs,15,clean lamp support(oil),0.66,,,,,,,,,
recessed,Subassembly LED,2,optioncbrs,16,clip board wires in plastic bushing,0.38,,,,,,,,,
recessed,Subassembly LED,2,optioncbrs,17,clip bushing in lamp support hole,0.4,,,,,,,,,
recessed,Subassembly LED,2,optioncbrs,18,place thermal pad on lamp support,0.72,,,,,,,,,
recessed,Subassembly LED,2,optioncbrs,19,place board on thermal pad,1.02,,,,,,,,,
recessed,Subassembly LED,2,optioncbrs,20,connect wires to board,0.66,,,,,,,,,
recessed,Subassembly LED,2,optioncbrs,21,place reflector holder on board,0.38,,,,,,,,,
recessed,Subassembly LED,2,optioncbrs,22,screw reflector holder with 2 screws(drill+screwdriver),1.52,,,,,,,,,
recessed,Subassembly LED,2,optioncbrs,23,press reflector on reflector holder,0.54,,,,,,,,,
recessed,Subassembly LED,2,optioncbrs,24,"take face plate & clean, qc",0.3,,,,,,,,,
recessed,Subassembly LED,2,optioncbrs,25,press glass holder in face plate,0.4,,,,,,,,,
recessed,Subassembly LED,2,optioncbrs,26,place glass & lamp support in face plate,0.6,,,,,,,,,
recessed,Subassembly LED,2,optioncbrs,27,screw lamp support in face plate with 4 screws,3,,,,,,,,,
recessed,Subassembly LED,3,optioncbrs,15,clean lamp support(oil),0.99,,,,,,,,,
recessed,Subassembly LED,3,optioncbrs,16,clip board wires in plastic bushing,0.57,,,,,,,,,
recessed,Subassembly LED,3,optioncbrs,17,clip bushing in lamp support hole,0.6,,,,,,,,,
recessed,Subassembly LED,3,optioncbrs,18,place thermal pad on lamp support,1.08,,,,,,,,,
recessed,Subassembly LED,3,optioncbrs,19,place board on thermal pad,1.53,,,,,,,,,
recessed,Subassembly LED,3,optioncbrs,20,connect wires to board,0.99,,,,,,,,,
recessed,Subassembly LED,3,optioncbrs,21,place reflector holder on board,0.57,,,,,,,,,
recessed,Subassembly LED,3,optioncbrs,22,screw reflector holder with 2 screws(drill+screwdriver),2.28,,,,,,,,,
recessed,Subassembly LED,3,optioncbrs,23,press reflector on reflector holder,0.81,,,,,,,,,
recessed,Subassembly LED,3,optioncbrs,24,"take face plate & clean, qc",0.45,,,,,,,,,
recessed,Subassembly LED,3,optioncbrs,25,press glass holder in face plate,0.6,,,,,,,,,
recessed,Subassembly LED,3,optioncbrs,26,place glass & lamp support in face plate,0.9,,,,,,,,,
recessed,Subassembly LED,3,optioncbrs,27,screw lamp support in face plate with 4 screws,4.5,,,,,,,,,
recessed,Subassembly LED,4,optioncbrs,15,clean lamp support(oil),1.32,,,,,,,,,
recessed,Subassembly LED,4,optioncbrs,16,clip board wires in plastic bushing,0.76,,,,,,,,,
recessed,Subassembly LED,4,optioncbrs,17,clip bushing in lamp support hole,0.8,,,,,,,,,
recessed,Subassembly LED,4,optioncbrs,18,place thermal pad on lamp support,1.44,,,,,,,,,
recessed,Subassembly LED,4,optioncbrs,19,place board on thermal pad,2.04,,,,,,,,,
recessed,Subassembly LED,4,optioncbrs,20,connect wires to board,1.32,,,,,,,,,
recessed,Subassembly LED,4,optioncbrs,21,place reflector holder on board,0.76,,,,,,,,,
recessed,Subassembly LED,4,optioncbrs,22,screw reflector holder with 2 screws(drill+screwdriver),3.04,,,,,,,,,
recessed,Subassembly LED,4,optioncbrs,23,press reflector on reflector holder,1.08,,,,,,,,,
recessed,Subassembly LED,4,optioncbrs,24,"take face plate & clean, qc",0.6,,,,,,,,,
recessed,Subassembly LED,4,optioncbrs,25,press glass holder in face plate,0.8,,,,,,,,,
recessed,Subassembly LED,4,optioncbrs,26,place glass & lamp support in face plate,1.2,,,,,,,,,
recessed,Subassembly LED,4,optioncbrs,27,screw lamp support in face plate with 4 screws,6,,,,,,,,,
surface,Subassembly LED,1,optioncbrs,15,clean lamp support(oil),0.33,,,,,,,,,
surface,Subassembly LED,1,optioncbrs,16,clip board wires in plastic bushing,0.19,,,,,,,,,
surface,Subassembly LED,1,optioncbrs,17,clip bushing in lamp support hole,0.2,,,,,,,,,
surface,Subassembly LED,1,optioncbrs,18,place thermal pad on lamp support,0.36,,,,,,,,,
surface,Subassembly LED,1,optioncbrs,19,place board on thermal pad,0.51,,,,,,,,,
surface,Subassembly LED,1,optioncbrs,20,connect wires to board,0.33,,,,,,,,,
surface,Subassembly LED,1,optioncbrs,21,place reflector holder on board,0.19,,,,,,,,,
surface,Subassembly LED,1,optioncbrs,22,screw reflector holder with 2 screws(drill+screwdriver),0.76,,,,,,,,,
surface,Subassembly LED,1,optioncbrs,23,press reflector on reflector holder,0.27,,,,,,,,,
surface,Subassembly LED,1,optioncbrs,24,"take face plate & clean, qc",0.15,,,,,,,,,
surface,Subassembly LED,1,optioncbrs,25,press glass holder in face plate,0.2,,,,,,,,,
surface,Subassembly LED,1,optioncbrs,26,place glass & lamp support in face plate,0.3,,,,,,,,,
surface,Subassembly LED,1,optioncbrs,27,screw lamp support in face plate with 4 screws,1.5,,,,,,,,,
surface,Subassembly LED,2,optioncbrs,15,clean lamp support(oil),0.66,,,,,,,,,
surface,Subassembly LED,2,optioncbrs,16,clip board wires in plastic bushing,0.38,,,,,,,,,
surface,Subassembly LED,2,optioncbrs,17,clip bushing in lamp support hole,0.4,,,,,,,,,
surface,Subassembly LED,2,optioncbrs,18,place thermal pad on lamp support,0.72,,,,,,,,,
surface,Subassembly LED,2,optioncbrs,19,place board on thermal pad,1.02,,,,,,,,,
surface,Subassembly LED,2,optioncbrs,20,connect wires to board,0.66,,,,,,,,,
surface,Subassembly LED,2,optioncbrs,21,place reflector holder on board,0.38,,,,,,,,,
surface,Subassembly LED,2,optioncbrs,22,screw reflector holder with 2 screws(drill+screwdriver),1.52,,,,,,,,,
surface,Subassembly LED,2,optioncbrs,23,press reflector on reflector holder,0.54,,,,,,,,,
surface,Subassembly LED,2,optioncbrs,24,"take face plate & clean, qc",0.3,,,,,,,,,
surface,Subassembly LED,2,optioncbrs,25,press glass holder in face plate,0.4,,,,,,,,,
surface,Subassembly LED,2,optioncbrs,26,place glass & lamp support in face plate,0.6,,,,,,,,,
surface,Subassembly LED,2,optioncbrs,27,screw lamp support in face plate with 4 screws,3,,,,,,,,,
surface,Subassembly LED,3,optioncbrs,15,clean lamp support(oil),0.99,,,,,,,,,
surface,Subassembly LED,3,optioncbrs,16,clip board wires in plastic bushing,0.57,,,,,,,,,
surface,Subassembly LED,3,optioncbrs,17,clip bushing in lamp support hole,0.6,,,,,,,,,
surface,Subassembly LED,3,optioncbrs,18,place thermal pad on lamp support,1.08,,,,,,,,,
surface,Subassembly LED,3,optioncbrs,19,place board on thermal pad,1.53,,,,,,,,,
surface,Subassembly LED,3,optioncbrs,20,connect wires to board,0.99,,,,,,,,,
surface,Subassembly LED,3,optioncbrs,21,place reflector holder on board,0.57,,,,,,,,,
surface,Subassembly LED,3,optioncbrs,22,screw reflector holder with 2 screws(drill+screwdriver),2.28,,,,,,,,,
surface,Subassembly LED,3,optioncbrs,23,press reflector on reflector holder,0.81,,,,,,,,,
surface,Subassembly LED,3,optioncbrs,24,"take face plate & clean, qc",0.45,,,,,,,,,
surface,Subassembly LED,3,optioncbrs,25,press glass holder in face plate,0.6,,,,,,,,,
surface,Subassembly LED,3,optioncbrs,26,place glass & lamp support in face plate,0.9,,,,,,,,,
surface,Subassembly LED,3,optioncbrs,27,screw lamp support in face plate with 4 screws,4.5,,,,,,,,,
surface,Subassembly LED,4,optioncbrs,15,clean lamp support(oil),1.32,,,,,,,,,
surface,Subassembly LED,4,optioncbrs,16,clip board wires in plastic bushing,0.76,,,,,,,,,
surface,Subassembly LED,4,optioncbrs,17,clip bushing in lamp support hole,0.8,,,,,,,,,
surface,Subassembly LED,4,optioncbrs,18,place thermal pad on lamp support,1.44,,,,,,,,,
surface,Subassembly LED,4,optioncbrs,19,place board on thermal pad,2.04,,,,,,,,,
surface,Subassembly LED,4,optioncbrs,20,connect wires to board,1.32,,,,,,,,,
surface,Subassembly LED,4,optioncbrs,21,place reflector holder on board,0.76,,,,,,,,,
surface,Subassembly LED,4,optioncbrs,22,screw reflector holder with 2 screws(drill+screwdriver),3.04,,,,,,,,,
surface,Subassembly LED,4,optioncbrs,23,press reflector on reflector holder,1.08,,,,,,,,,
surface,Subassembly LED,4,optioncbrs,24,"take face plate & clean, qc",0.6,,,,,,,,,
surface,Subassembly LED,4,optioncbrs,25,press glass holder in face plate,0.8,,,,,,,,,
surface,Subassembly LED,4,optioncbrs,26,place glass & lamp support in face plate,1.2,,,,,,,,,
surface,Subassembly LED,4,optioncbrs,27,screw lamp support in face plate with 4 screws,6,,,,,,,,,
pendant,Subassembly LED,1,optioncbpw,11,clean lamp support(oil),0.33,,,,,,,,,
pendant,Subassembly LED,1,optioncbpw,12,clip board wires in plastic bushing,0.19,,,,,,,,,
pendant,Subassembly LED,1,optioncbpw,13,clip bushing in lamp support hole,0.2,,,,,,,,,
pendant,Subassembly LED,1,optioncbpw,14,place thermal pad on lamp support,0.36,,,,,,,,,
pendant,Subassembly LED,1,optioncbpw,15,place board on thermal pad,0.51,,,,,,,,,
pendant,Subassembly LED,1,optioncbpw,16,connect wires to board,0.33,,,,,,,,,
pendant,Subassembly LED,1,optioncbpw,17,place reflector holder on board,0.19,,,,,,,,,
pendant,Subassembly LED,1,optioncbpw,18,screw reflector holder with 2 screws(drill+screwdriver),0.76,,,,,,,,,
pendant,Subassembly LED,1,optioncbpw,19,press reflector on reflector holder,0.27,,,,,,,,,
pendant,Subassembly LED,1,optioncbpw,20,"take face plate & clean, qc",0.15,,,,,,,,,
pendant,Subassembly LED,1,optioncbpw,21,press glass holder in face plate,0.2,,,,,,,,,
pendant,Subassembly LED,1,optioncbpw,22,place glass & lamp support in face plate,0.3,,,,,,,,,
pendant,Subassembly LED,1,optioncbpw,23,screw lamp support in face plate with 4 screws,1.5,,,,,,,,,
pendant,Subassembly LED,2,optioncbpw,11,clean lamp support(oil),0.66,,,,,,,,,
pendant,Subassembly LED,2,optioncbpw,12,clip board wires in plastic bushing,0.38,,,,,,,,,
pendant,Subassembly LED,2,optioncbpw,13,clip bushing in lamp support hole,0.4,,,,,,,,,
pendant,Subassembly LED,2,optioncbpw,14,place thermal pad on lamp support,0.72,,,,,,,,,
pendant,Subassembly LED,2,optioncbpw,15,place board on thermal pad,1.02,,,,,,,,,
pendant,Subassembly LED,2,optioncbpw,16,connect wires to board,0.66,,,,,,,,,
pendant,Subassembly LED,2,optioncbpw,17,place reflector holder on board,0.38,,,,,,,,,
pendant,Subassembly LED,2,optioncbpw,18,screw reflector holder with 2 screws(drill+screwdriver),1.52,,,,,,,,,
pendant,Subassembly LED,2,optioncbpw,19,press reflector on reflector holder,0.54,,,,,,,,,
pendant,Subassembly LED,2,optioncbpw,20,"take face plate & clean, qc",0.3,,,,,,,,,
pendant,Subassembly LED,2,optioncbpw,21,press glass holder in face plate,0.4,,,,,,,,,
pendant,Subassembly LED,2,optioncbpw,22,place glass & lamp support in face plate,0.6,,,,,,,,,
pendant,Subassembly LED,2,optioncbpw,23,screw lamp support in face plate with 4 screws,3,,,,,,,,,
pendant,Subassembly LED,3,optioncbpw,11,clean lamp support(oil),0.99,,,,,,,,,
pendant,Subassembly LED,3,optioncbpw,12,clip board wires in plastic bushing,0.57,,,,,,,,,
pendant,Subassembly LED,3,optioncbpw,13,clip bushing in lamp support hole,0.6,,,,,,,,,
pendant,Subassembly LED,3,optioncbpw,14,place thermal pad on lamp support,1.08,,,,,,,,,
pendant,Subassembly LED,3,optioncbpw,15,place board on thermal pad,1.53,,,,,,,,,
pendant,Subassembly LED,3,optioncbpw,16,connect wires to board,0.99,,,,,,,,,
pendant,Subassembly LED,3,optioncbpw,17,place reflector holder on board,0.57,,,,,,,,,
pendant,Subassembly LED,3,optioncbpw,18,screw reflector holder with 2 screws(drill+screwdriver),2.28,,,,,,,,,
pendant,Subassembly LED,3,optioncbpw,19,press reflector on reflector holder,0.81,,,,,,,,,
pendant,Subassembly LED,3,optioncbpw,20,"take face plate & clean, qc",0.45,,,,,,,,,
pendant,Subassembly LED,3,optioncbpw,21,press glass holder in face plate,0.6,,,,,,,,,
pendant,Subassembly LED,3,optioncbpw,22,place glass & lamp support in face plate,0.9,,,,,,,,,
pendant,Subassembly LED,3,optioncbpw,23,screw lamp support in face plate with 4 screws,4.5,,,,,,,,,
pendant,Subassembly LED,4,optioncbpw,11,clean lamp support(oil),1.32,,,,,,,,,
pendant,Subassembly LED,4,optioncbpw,12,clip board wires in plastic bushing,0.76,,,,,,,,,
pendant,Subassembly LED,4,optioncbpw,13,clip bushing in lamp support hole,0.8,,,,,,,,,
pendant,Subassembly LED,4,optioncbpw,14,place thermal pad on lamp support,1.44,,,,,,,,,
pendant,Subassembly LED,4,optioncbpw,15,place board on thermal pad,2.04,,,,,,,,,
pendant,Subassembly LED,4,optioncbpw,16,connect wires to board,1.32,,,,,,,,,
pendant,Subassembly LED,4,optioncbpw,17,place reflector holder on board,0.76,,,,,,,,,
pendant,Subassembly LED,4,optioncbpw,18,screw reflector holder with 2 screws(drill+screwdriver),3.04,,,,,,,,,
pendant,Subassembly LED,4,optioncbpw,19,press reflector on reflector holder,1.08,,,,,,,,,
pendant,Subassembly LED,4,optioncbpw,20,"take face plate & clean, qc",0.6,,,,,,,,,
pendant,Subassembly LED,4,optioncbpw,21,press glass holder in face plate,0.8,,,,,,,,,
pendant,Subassembly LED,4,optioncbpw,22,place glass & lamp support in face plate,1.2,,,,,,,,,
pendant,Subassembly LED,4,optioncbpw,23,screw lamp support in face plate with 4 screws,6,,,,,,,,,
wall,Subassembly LED,1,optioncbpw,11,clean lamp support(oil),0.33,,,,,,,,,
wall,Subassembly LED,1,optioncbpw,12,clip board wires in plastic bushing,0.19,,,,,,,,,
wall,Subassembly LED,1,optioncbpw,13,clip bushing in lamp support hole,0.2,,,,,,,,,
wall,Subassembly LED,1,optioncbpw,14,place thermal pad on lamp support,0.36,,,,,,,,,
wall,Subassembly LED,1,optioncbpw,15,place board on thermal pad,0.51,,,,,,,,,
wall,Subassembly LED,1,optioncbpw,16,connect wires to board,0.33,,,,,,,,,
wall,Subassembly LED,1,optioncbpw,17,place reflector holder on board,0.19,,,,,,,,,
wall,Subassembly LED,1,optioncbpw,18,screw reflector holder with 2 screws(drill+screwdriver),0.76,,,,,,,,,
wall,Subassembly LED,1,optioncbpw,19,press reflector on reflector holder,0.27,,,,,,,,,
wall,Subassembly LED,1,optioncbpw,20,"take face plate & clean, qc",0.15,,,,,,,,,
wall,Subassembly LED,1,optioncbpw,21,press glass holder in face plate,0.2,,,,,,,,,
wall,Subassembly LED,1,optioncbpw,22,place glass & lamp support in face plate,0.3,,,,,,,,,
wall,Subassembly LED,1,optioncbpw,23,screw lamp support in face plate with 4 screws,1.5,,,,,,,,,
wall,Subassembly LED,2,optioncbpw,11,clean lamp support(oil),0.66,,,,,,,,,
wall,Subassembly LED,2,optioncbpw,12,clip board wires in plastic bushing,0.38,,,,,,,,,
wall,Subassembly LED,2,optioncbpw,13,clip bushing in lamp support hole,0.4,,,,,,,,,
wall,Subassembly LED,2,optioncbpw,14,place thermal pad on lamp support,0.72,,,,,,,,,
wall,Subassembly LED,2,optioncbpw,15,place board on thermal pad,1.02,,,,,,,,,
wall,Subassembly LED,2,optioncbpw,16,connect wires to board,0.66,,,,,,,,,
wall,Subassembly LED,2,optioncbpw,17,place reflector holder on board,0.38,,,,,,,,,
wall,Subassembly LED,2,optioncbpw,18,screw reflector holder with 2 screws(drill+screwdriver),1.52,,,,,,,,,
wall,Subassembly LED,2,optioncbpw,19,press reflector on reflector holder,0.54,,,,,,,,,
wall,Subassembly LED,2,optioncbpw,20,"take face plate & clean, qc",0.3,,,,,,,,,
wall,Subassembly LED,2,optioncbpw,21,press glass holder in face plate,0.4,,,,,,,,,
wall,Subassembly LED,2,optioncbpw,22,place glass & lamp support in face plate,0.6,,,,,,,,,
wall,Subassembly LED,2,optioncbpw,23,screw lamp support in face plate with 4 screws,3,,,,,,,,,
wall,Subassembly LED,3,optioncbpw,11,clean lamp support(oil),0.99,,,,,,,,,
wall,Subassembly LED,3,optioncbpw,12,clip board wires in plastic bushing,0.57,,,,,,,,,
wall,Subassembly LED,3,optioncbpw,13,clip bushing in lamp support hole,0.6,,,,,,,,,
wall,Subassembly LED,3,optioncbpw,14,place thermal pad on lamp support,1.08,,,,,,,,,
wall,Subassembly LED,3,optioncbpw,15,place board on thermal pad,1.53,,,,,,,,,
wall,Subassembly LED,3,optioncbpw,16,connect wires to board,0.99,,,,,,,,,
wall,Subassembly LED,3,optioncbpw,17,place reflector holder on board,0.57,,,,,,,,,
wall,Subassembly LED,3,optioncbpw,18,screw reflector holder with 2 screws(drill+screwdriver),2.28,,,,,,,,,
wall,Subassembly LED,3,optioncbpw,19,press reflector on reflector holder,0.81,,,,,,,,,
wall,Subassembly LED,3,optioncbpw,20,"take face plate & clean, qc",0.45,,,,,,,,,
wall,Subassembly LED,3,optioncbpw,21,press glass holder in face plate,0.6,,,,,,,,,
wall,Subassembly LED,3,optioncbpw,22,place glass & lamp support in face plate,0.9,,,,,,,,,
wall,Subassembly LED,3,optioncbpw,23,screw lamp support in face plate with 4 screws,4.5,,,,,,,,,
wall,Subassembly LED,4,optioncbpw,11,clean lamp support(oil),1.32,,,,,,,,,
wall,Subassembly LED,4,optioncbpw,12,clip board wires in plastic bushing,0.76,,,,,,,,,
wall,Subassembly LED,4,optioncbpw,13,clip bushing in lamp support hole,0.8,,,,,,,,,
wall,Subassembly LED,4,optioncbpw,14,place thermal pad on lamp support,1.44,,,,,,,,,
wall,Subassembly LED,4,optioncbpw,15,place board on thermal pad,2.04,,,,,,,,,
wall,Subassembly LED,4,optioncbpw,16,connect wires to board,1.32,,,,,,,,,
wall,Subassembly LED,4,optioncbpw,17,place reflector holder on board,0.76,,,,,,,,,
wall,Subassembly LED,4,optioncbpw,18,screw reflector holder with 2 screws(drill+screwdriver),3.04,,,,,,,,,
wall,Subassembly LED,4,optioncbpw,19,press reflector on reflector holder,1.08,,,,,,,,,
wall,Subassembly LED,4,optioncbpw,20,"take face plate & clean, qc",0.6,,,,,,,,,
wall,Subassembly LED,4,optioncbpw,21,press glass holder in face plate,0.8,,,,,,,,,
wall,Subassembly LED,4,optioncbpw,22,place glass & lamp support in face plate,1.2,,,,,,,,,
wall,Subassembly LED,4,optioncbpw,23,screw lamp support in face plate with 4 screws,6,,,,,,,,,
