 Product ID , Work Center , Section , Option , ID , Task , Qty , Time(min) , Total Time ,, Sum of Total Time , Column Labels ,,,,,,
 BMI , Drill , SRE , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 1.00 , CAD 0.45 , CAD 0.45 ,, SR1 ,,,, CAD 0.93 , CAD 0.93 ,,
 BMILED , Drill , SRE , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, SRE ,,,, CAD 0.93 , CAD 0.93 ,,
 BMILEDPAT , Drill , SRE , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, BBSLED ,,,, CAD 1.32 , CAD 1.32 ,,
 BMIPAT , Drill , SRE , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 1.00 , CAD 0.45 , CAD 0.45 ,, Complete Section ,,,, CAD 0.66 , CAD 0.66 ,,
 BMLEDPAT , Drill , SRE , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, SR1 ,,,, CAD 0.33 , CAD 0.33 ,,
 CU , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, SRE ,,,, CAD 0.33 , CAD 0.33 ,,
 CUA , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, BBSLEDPAT ,,,, CAD 1.32 , CAD 1.32 ,,
 CUB , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, Complete Section ,,,, CAD 0.66 , CAD 0.66 ,,
 CUBA , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, SR1 ,,,, CAD 0.33 , CAD 0.33 ,,
 CUBS , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, SRE ,,,, CAD 0.33 , CAD 0.33 ,,
 CUS , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, BBSPAT ,,,, CAD 3.72 , CAD 3.72 ,,
 D5 , Drill , SRE , aendcap10 , CAD 2.00 , Drill 3 holes in end cap , CAD 1.00 ,0.60, CAD 0.60 ,, Complete Section ,,,, CAD 1.86 , CAD 1.86 ,,
 D5S , Drill , SRE , aendcap10 , CAD 2.00 , Drill 3 holes in end cap , CAD 1.00 ,0.60, CAD 0.60 ,, SR1 ,,,, CAD 0.93 , CAD 0.93 ,,
 D5W , Drill , SRE , aendcap10 , CAD 2.00 , Drill 3 holes in end cap , CAD 1.00 ,0.60, CAD 0.60 ,, SRE ,,,, CAD 0.93 , CAD 0.93 ,,
 FL , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, BBW ,,,, CAD 3.72 , CAD 3.72 ,,
 L2 , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, Complete Section ,,,, CAD 1.86 , CAD 1.86 ,,
 L2A , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, SR1 ,,,, CAD 0.93 , CAD 0.93 ,,
 L2S , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, SRE ,,,, CAD 0.93 , CAD 0.93 ,,
 LT , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, BBWD ,,,, CAD 3.72 , CAD 3.72 ,,
 LTA , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, Complete Section ,,,, CAD 1.86 , CAD 1.86 ,,
 SL , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, SR1 ,,,, CAD 0.93 , CAD 0.93 ,,
 SL2HLED , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, SRE ,,,, CAD 0.93 , CAD 0.93 ,,
 SL2LLED , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, BBWDILED ,,,, CAD 1.32 , CAD 1.32 ,,
 SLLED , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, Complete Section ,,,, CAD 0.66 , CAD 0.66 ,,
 SOL , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, SR1 ,,,, CAD 0.33 , CAD 0.33 ,,
 SOLS , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, SRE ,,,, CAD 0.33 , CAD 0.33 ,,
 SU , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, BBWDLED ,,,, CAD 1.32 , CAD 1.32 ,,
 SUA , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, Complete Section ,,,, CAD 0.66 , CAD 0.66 ,,
 SUS , Drill , SRE , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, SR1 ,,,, CAD 0.33 , CAD 0.33 ,,
 WB , Drill , SRE , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, SRE ,,,, CAD 0.33 , CAD 0.33 ,,
 WB , Drill , SRE , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, BBWDLEDPAT ,,,, CAD 1.32 , CAD 1.32 ,,
 WB , Drill , SRE , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, Complete Section ,,,, CAD 0.66 , CAD 0.66 ,,
 WBDI , Drill , SRE , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, SR1 ,,,, CAD 0.33 , CAD 0.33 ,,
 WBDI , Drill , SRE , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, SRE ,,,, CAD 0.33 , CAD 0.33 ,,
 WBDI , Drill , SRE , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, BBWDPAT ,,,, CAD 3.72 , CAD 3.72 ,,
 WBDILED , Drill , SRE , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, Complete Section ,,,, CAD 1.86 , CAD 1.86 ,,
 WBDILED , Drill , SRE , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, SR1 ,,,, CAD 0.93 , CAD 0.93 ,,
 WBDILED , Drill , SRE , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, SRE ,,,, CAD 0.93 , CAD 0.93 ,,
 WBDIW , Drill , SRE , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, BBWI ,,,, CAD 3.72 , CAD 3.72 ,,
 WBDIW , Drill , SRE , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, Complete Section ,,,, CAD 1.86 , CAD 1.86 ,,
 WBDIW , Drill , SRE , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, SR1 ,,,, CAD 0.93 , CAD 0.93 ,,
 WBDIWLED , Drill , SRE , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, SRE ,,,, CAD 0.93 , CAD 0.93 ,,
 WBDIWLED , Drill , SRE , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, BBWILED ,,,, CAD 1.32 , CAD 1.32 ,,
 WBDIWLED , Drill , SRE , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, Complete Section ,,,, CAD 0.66 , CAD 0.66 ,,
 WBLED , Drill , SRE , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, SR1 ,,,, CAD 0.33 , CAD 0.33 ,,
 WBLED , Drill , SRE , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, SRE ,,,, CAD 0.33 , CAD 0.33 ,,
 WBLED , Drill , SRE , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, BBWILEDPAT ,,,, CAD 1.32 , CAD 1.32 ,,
 WBR , Drill , SRE , aendcapwbr , CAD 1.00 ," take part, tight in jig, drill 1 hole, remove from jig put aside ", CAD 1.00 , CAD 0.25 , CAD 0.25 ,, Complete Section ,,,, CAD 0.66 , CAD 0.66 ,,
 WBR , Drill , SRE , aendcapwbr , CAD 2.00 ," take part, tight in jig, drill 2sd hole, remove from jig put aside ", CAD 1.00 , CAD 0.25 , CAD 0.25 ,, SR1 ,,,, CAD 0.33 , CAD 0.33 ,,
 WBR , Drill , SRE , aendcapwbr , CAD 3.00 ," place part on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, SRE ,,,, CAD 0.33 , CAD 0.33 ,,
 WBR , Drill , SRE , aendcapwbr , CAD 4.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, BBWIPAT ,,,, CAD 3.72 , CAD 3.72 ,,
 WBR , Drill , SRE , aendcapwbr , CAD 5.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, Complete Section ,,,, CAD 1.86 , CAD 1.86 ,,
 WBRLED , Drill , SRE , aendcapwbr , CAD 1.00 ," take part, tight in jig, drill 1 hole, remove from jig put aside ", CAD 1.00 , CAD 0.25 , CAD 0.25 ,, SR1 ,,,, CAD 0.93 , CAD 0.93 ,,
 WBRLED , Drill , SRE , aendcapwbr , CAD 2.00 ," take part, tight in jig, drill 2sd hole, remove from jig put aside ", CAD 1.00 , CAD 0.25 , CAD 0.25 ,, SRE ,,,, CAD 0.93 , CAD 0.93 ,,
 WBRLED , Drill , SRE , aendcapwbr , CAD 3.00 ," place part on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, BBWLEDPAT ,,,, CAD 1.32 , CAD 1.32 ,,
 WBRLED , Drill , SRE , aendcapwbr , CAD 4.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, Complete Section ,,,, CAD 0.66 , CAD 0.66 ,,
 WBRLED , Drill , SRE , aendcapwbr , CAD 5.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, SR1 ,,,, CAD 0.33 , CAD 0.33 ,,
 WBS , Drill , SRE , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, SRE ,,,, CAD 0.33 , CAD 0.33 ,,
 WBS , Drill , SRE , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, BBWPAT ,,,, CAD 3.72 , CAD 3.72 ,,
 WBS , Drill , SRE , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, Complete Section ,,,, CAD 1.86 , CAD 1.86 ,,
 WBSLED , Drill , SRE , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, SR1 ,,,, CAD 0.93 , CAD 0.93 ,,
 WBSLED , Drill , SRE , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, SRE ,,,, CAD 0.93 , CAD 0.93 ,,
 WBSLED , Drill , SRE , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, BD , CAD 1.80 ,,, CAD 3.72 , CAD 5.52 ,,
 WBW , Drill , SRE , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, Complete Section , CAD 0.90 ,,, CAD 1.86 , CAD 2.76 ,,
 WBW , Drill , SRE , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, SR1 , CAD 0.45 ,,, CAD 0.93 , CAD 1.38 ,,
 WBW , Drill , SRE , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, SRE , CAD 0.45 ,,, CAD 0.93 , CAD 1.38 ,,
 WBWLED , Drill , SRE , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, BDI , CAD 1.80 ,,, CAD 3.72 , CAD 5.52 ,,
 WBWLED , Drill , SRE , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, Complete Section , CAD 0.90 ,,, CAD 1.86 , CAD 2.76 ,,
 WBWLED , Drill , SRE , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, SR1 , CAD 0.45 ,,, CAD 0.93 , CAD 1.38 ,,
 D5 , Drill , SRM , aendcap10 , CAD 2.00 , Drill 3 holes in end cap , CAD 1.00 ,0.60, CAD 0.60 ,, SRE , CAD 0.45 ,,, CAD 0.93 , CAD 1.38 ,,
 D5S , Drill , SRM , aendcap10 , CAD 2.00 , Drill 3 holes in end cap , CAD 1.00 ,0.60, CAD 0.60 ,, BDIW ,,,, CAD 3.72 , CAD 3.72 ,,
 D5W , Drill , SRM , aendcap10 , CAD 2.00 , Drill 3 holes in end cap , CAD 1.00 ,0.60, CAD 0.60 ,, Complete Section ,,,, CAD 1.86 , CAD 1.86 ,,
 WB , Drill , SRM , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, SR1 ,,,, CAD 0.93 , CAD 0.93 ,,
 WB , Drill , SRM , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, SRE ,,,, CAD 0.93 , CAD 0.93 ,,
 WB , Drill , SRM , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, BDLED , CAD 0.92 ,,, CAD 1.32 , CAD 2.24 ,,
 WBDI , Drill , SRM , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, Complete Section , CAD 0.46 ,,, CAD 0.66 , CAD 1.12 ,,
 WBDI , Drill , SRM , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, SR1 , CAD 0.23 ,,, CAD 0.33 , CAD 0.56 ,,
 WBDI , Drill , SRM , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, SRE , CAD 0.23 ,,, CAD 0.33 , CAD 0.56 ,,
 WBDILED , Drill , SRM , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, BDLEDPAT , CAD 0.92 ,,, CAD 1.32 , CAD 2.24 ,,
 WBDILED , Drill , SRM , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, Complete Section , CAD 0.46 ,,, CAD 0.66 , CAD 1.12 ,,
 WBDILED , Drill , SRM , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, SR1 , CAD 0.23 ,,, CAD 0.33 , CAD 0.56 ,,
 WBDIW , Drill , SRM , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, SRE , CAD 0.23 ,,, CAD 0.33 , CAD 0.56 ,,
 WBDIW , Drill , SRM , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, BDPAT , CAD 1.80 ,,, CAD 3.72 , CAD 5.52 ,,
 WBDIW , Drill , SRM , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, Complete Section , CAD 0.90 ,,, CAD 1.86 , CAD 2.76 ,,
 WBDIWLED , Drill , SRM , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, SR1 , CAD 0.45 ,,, CAD 0.93 , CAD 1.38 ,,
 WBDIWLED , Drill , SRM , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, SRE , CAD 0.45 ,,, CAD 0.93 , CAD 1.38 ,,
 WBDIWLED , Drill , SRM , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, BI , CAD 1.80 ,,, CAD 3.72 , CAD 5.52 ,,
 WBLED , Drill , SRM , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, Complete Section , CAD 0.90 ,,, CAD 1.86 , CAD 2.76 ,,
 WBLED , Drill , SRM , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, SR1 , CAD 0.45 ,,, CAD 0.93 , CAD 1.38 ,,
 WBLED , Drill , SRM , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, SRE , CAD 0.45 ,,, CAD 0.93 , CAD 1.38 ,,
 WBS , Drill , SRM , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, BILED , CAD 0.92 ,,, CAD 1.32 , CAD 2.24 ,,
 WBS , Drill , SRM , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, Complete Section , CAD 0.46 ,,, CAD 0.66 , CAD 1.12 ,,
 WBS , Drill , SRM , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, SR1 , CAD 0.23 ,,, CAD 0.33 , CAD 0.56 ,,
 WBSLED , Drill , SRM , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, SRE , CAD 0.23 ,,, CAD 0.33 , CAD 0.56 ,,
 WBSLED , Drill , SRM , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, BILEDPAT , CAD 0.92 ,,, CAD 1.32 , CAD 2.24 ,,
 WBSLED , Drill , SRM , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, Complete Section , CAD 0.46 ,,, CAD 0.66 , CAD 1.12 ,,
 WBW , Drill , SRM , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, SR1 , CAD 0.23 ,,, CAD 0.33 , CAD 0.56 ,,
 WBW , Drill , SRM , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, SRE , CAD 0.23 ,,, CAD 0.33 , CAD 0.56 ,,
 WBW , Drill , SRM , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, BIPAT , CAD 1.80 ,,, CAD 3.72 , CAD 5.52 ,,
 WBWLED , Drill , SRM , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, Complete Section , CAD 0.90 ,,, CAD 1.86 , CAD 2.76 ,,
 WBWLED , Drill , SRM , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, SR1 , CAD 0.45 ,,, CAD 0.93 , CAD 1.38 ,,
 WBWLED , Drill , SRM , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, SRE , CAD 0.45 ,,, CAD 0.93 , CAD 1.38 ,,
 WBR , Drill , SRM , aendcapwbr , CAD 1.00 ," take part, tight in jig, drill 1 hole, remove from jig put aside ", CAD 1.00 , CAD 0.25 , CAD 0.25 ,, BLEDPAT , CAD 0.92 ,,, CAD 1.32 , CAD 2.24 ,,
 WBR , Drill , SRM , aendcapwbr , CAD 2.00 ," take part, tight in jig, drill 2sd hole, remove from jig put aside ", CAD 1.00 , CAD 0.25 , CAD 0.25 ,, Complete Section , CAD 0.46 ,,, CAD 0.66 , CAD 1.12 ,,
 WBR , Drill , SRM , aendcapwbr , CAD 3.00 ," place part on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, SR1 , CAD 0.23 ,,, CAD 0.33 , CAD 0.56 ,,
 WBR , Drill , SRM , aendcapwbr , CAD 4.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, SRE , CAD 0.23 ,,, CAD 0.33 , CAD 0.56 ,,
 WBR , Drill , SRM , aendcapwbr , CAD 5.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, BMD , CAD 1.80 ,,, CAD 3.72 , CAD 5.52 ,,
 WBRLED , Drill , SRM , aendcapwbr , CAD 1.00 ," take part, tight in jig, drill 1 hole, remove from jig put aside ", CAD 1.00 , CAD 0.25 , CAD 0.25 ,, Complete Section , CAD 0.90 ,,, CAD 1.86 , CAD 2.76 ,,
 WBRLED , Drill , SRM , aendcapwbr , CAD 2.00 ," take part, tight in jig, drill 2sd hole, remove from jig put aside ", CAD 1.00 , CAD 0.25 , CAD 0.25 ,, SR1 , CAD 0.45 ,,, CAD 0.93 , CAD 1.38 ,,
 WBRLED , Drill , SRM , aendcapwbr , CAD 3.00 ," place part on jig, tight, drill & spray oil on drill ", CAD 1.00 , CAD 0.95 , CAD 0.95 ,, SRE , CAD 0.45 ,,, CAD 0.93 , CAD 1.38 ,,
 WBRLED , Drill , SRM , aendcapwbr , CAD 4.00 ," remove gard, clean with air, take part & put aside ", CAD 1.00 , CAD 0.36 , CAD 0.36 ,, BMDLED , CAD 0.92 ,,, CAD 1.32 , CAD 2.24 ,,
 WBRLED , Drill , SRM , aendcapwbr , CAD 5.00 , clean station 1/5 part , CAD 1.00 , CAD 0.06 , CAD 0.06 ,, Complete Section , CAD 0.46 ,,, CAD 0.66 , CAD 1.12 ,,
 D5 , Mill , Complete Section , aendcap10 , CAD 3.00 , Grind detail for lining bracket in end cap , CAD 2.00 ,2.00, CAD 4.00 ,, SR1 , CAD 0.23 ,,, CAD 0.33 , CAD 0.56 ,,
 D5S , Mill , Complete Section , aendcap10 , CAD 3.00 , Grind detail for lining bracket in end cap , CAD 2.00 ,2.00, CAD 4.00 ,, SRE , CAD 0.23 ,,, CAD 0.33 , CAD 0.56 ,,
 D5W , Mill , Complete Section , aendcap10 , CAD 3.00 , Grind detail for lining bracket in end cap , CAD 2.00 ,2.00, CAD 4.00 ,, BMDLEDPAT , CAD 0.92 ,,, CAD 1.32 , CAD 2.24 ,,
 D5 , Mill , SR1 , aendcap10 , CAD 3.00 , Grind detail for lining bracket in end cap , CAD 1.00 ,2.00, CAD 2.00 ,, Complete Section , CAD 0.46 ,,, CAD 0.66 , CAD 1.12 ,,
 D5S , Mill , SR1 , aendcap10 , CAD 3.00 , Grind detail for lining bracket in end cap , CAD 1.00 ,2.00, CAD 2.00 ,, SR1 , CAD 0.23 ,,, CAD 0.33 , CAD 0.56 ,,
 D5W , Mill , SR1 , aendcap10 , CAD 3.00 , Grind detail for lining bracket in end cap , CAD 1.00 ,2.00, CAD 2.00 ,, SRE , CAD 0.23 ,,, CAD 0.33 , CAD 0.56 ,,
 D5 , Mill , SRE , aendcap10 , CAD 3.00 , Grind detail for lining bracket in end cap , CAD 1.00 ,2.00, CAD 2.00 ,, BMDPAT , CAD 1.80 ,,, CAD 3.72 , CAD 5.52 ,,
 D5S , Mill , SRE , aendcap10 , CAD 3.00 , Grind detail for lining bracket in end cap , CAD 1.00 ,2.00, CAD 2.00 ,, Complete Section , CAD 0.90 ,,, CAD 1.86 , CAD 2.76 ,,
 D5W , Mill , SRE , aendcap10 , CAD 3.00 , Grind detail for lining bracket in end cap , CAD 1.00 ,2.00, CAD 2.00 ,, SR1 , CAD 0.45 ,,, CAD 0.93 , CAD 1.38 ,,
 D5 , Mill , SRM , aendcap10 , CAD 3.00 , Grind detail for lining bracket in end cap , CAD 1.00 ,2.00, CAD 2.00 ,, SRE , CAD 0.45 ,,, CAD 0.93 , CAD 1.38 ,,
 D5S , Mill , SRM , aendcap10 , CAD 3.00 , Grind detail for lining bracket in end cap , CAD 1.00 ,2.00, CAD 2.00 ,, BMI , CAD 1.80 ,,, CAD 3.72 , CAD 5.52 ,,
 D5W , Mill , SRM , aendcap10 , CAD 3.00 , Grind detail for lining bracket in end cap , CAD 1.00 ,2.00, CAD 2.00 ,, Complete Section , CAD 0.90 ,,, CAD 1.86 , CAD 2.76 ,,
