Product ID,Lighting,Fixture Type,Option,Work Center,ID,Task,Time(min),,Sum of Time(min),Column Labels,,,
B6RLEDPAT,led,recessed,battled2,Assembly,3,Put battery in housing and fix with nuts,0.87,,,,,,
B6RLEDPAT,led,recessed,battled2,Assembly,4,Inverter connections+get out wires,0.3,,,,,,
B6RLEDPAT,led,recessed,battled2,Assembly,5,Indicator light connections+clip light,2,,,,,,
B6RLEDPAT,led,recessed,battled2,Assembly,6,Test switch connections,2.81,,,,,,
B6RLEDPAT,led,recessed,battled2,Assembly,7,Extra time to connecte driver to batt.,3,,,,,,
B6RLEDPAT,led,recessed,battled2,Assembly,8,Extra time for Battery test,0.2,,,,,,
B6RLEDPAT,led,recessed,battled2,Assembly,9,Emergency labels,0.36,,,,,,
B6RLEDPAT,led,recessed,battled2,Preparation,1,Sub-assembly battery,0.3,,,,,,
B6RLEDPAT,led,recessed,battled2,Preparation,2,Drill hole in reflector for invertor wires,0.45,,,,,,
B6RPAT,fluorescent,recessed,battfluo1,Assembly,4,Put battery in housing and fix with screws,1.17,,,,,,
B6RPAT,fluorescent,recessed,battfluo1,Assembly,5,Inverter connections+get out wires,0.3,,,,,,
B6RPAT,fluorescent,recessed,battfluo1,Assembly,6,Indicator light connections+clip light,2,,,,,,
B6RPAT,fluorescent,recessed,battfluo1,Assembly,7,Test switch connections,2.81,,,,,,
B6RPAT,fluorescent,recessed,battfluo1,Assembly,8,Extra time to connect light to batt.,1,,,,,,
B6RPAT,fluorescent,recessed,battfluo1,Assembly,9,Extra time to connect driver to batt.,2,,,,,,
B6RPAT,fluorescent,recessed,battfluo1,Assembly,10,Extra time for Battery test,0.2,,,,,,
B6RPAT,fluorescent,recessed,battfluo1,Assembly,11,Emergency labels,0.36,,,,,,
B6RPAT,fluorescent,recessed,battfluo1,Preparation,1,Remove battery & acc. from box,0.3,,,,,,
B6RPAT,fluorescent,recessed,battfluo1,Preparation,2,Cap unused lead wire (black or orange),0.33,,,,,,
B6RPAT,fluorescent,recessed,battfluo1,Preparation,3,Put ballast aside,0.08,,,,,,
B6RV,fluorescent,recessed,battfluo1,Assembly,4,Put battery in housing and fix with screws,1.17,,,,,,
B6RV,fluorescent,recessed,battfluo1,Assembly,5,Inverter connections+get out wires,0.3,,,,,,
B6RV,fluorescent,recessed,battfluo1,Assembly,6,Indicator light connections+clip light,2,,,,,,
B6RV,fluorescent,recessed,battfluo1,Assembly,7,Test switch connections,2.81,,,,,,
B6RV,fluorescent,recessed,battfluo1,Assembly,8,Extra time to connect light to batt.,1,,,,,,
B6RV,fluorescent,recessed,battfluo1,Assembly,9,Extra time to connect driver to batt.,2,,,,,,
B6RV,fluorescent,recessed,battfluo1,Assembly,10,Extra time for Battery test,0.2,,,,,,
B6RV,fluorescent,recessed,battfluo1,Assembly,11,Emergency labels,0.36,,,,,,
B6RV,fluorescent,recessed,battfluo1,Preparation,1,Remove battery & acc. from box,0.3,,,,,,
B6RV,fluorescent,recessed,battfluo1,Preparation,2,Cap unused lead wire (black or orange),0.33,,,,,,
B6RV,fluorescent,recessed,battfluo1,Preparation,3,Put ballast aside,0.08,,,,,,
B6RVLED,led,recessed,battled2,Assembly,3,Put battery in housing and fix with nuts,0.87,,,,,,
B6RVLED,led,recessed,battled2,Assembly,4,Inverter connections+get out wires,0.3,,,,,,
B6RVLED,led,recessed,battled2,Assembly,5,Indicator light connections+clip light,2,,,,,,
B6RVLED,led,recessed,battled2,Assembly,6,Test switch connections,2.81,,,,,,
B6RVLED,led,recessed,battled2,Assembly,7,Extra time to connecte driver to batt.,3,,,,,,
B6RVLED,led,recessed,battled2,Assembly,8,Extra time for Battery test,0.2,,,,,,
B6RVLED,led,recessed,battled2,Assembly,9,Emergency labels,0.36,,,,,,
B6RVLED,led,recessed,battled2,Preparation,1,Sub-assembly battery,0.3,,,,,,
B6RVLED,led,recessed,battled2,Preparation,2,Drill hole in reflector for invertor wires,0.45,,,,,,
B6S,fluorescent,surface,battfluo1,Assembly,4,Put battery in housing and fix with screws,1.17,,,,,,
B6S,fluorescent,surface,battfluo1,Assembly,5,Inverter connections+get out wires,0.3,,,,,,
B6S,fluorescent,surface,battfluo1,Assembly,6,Indicator light connections+clip light,2,,,,,,
B6S,fluorescent,surface,battfluo1,Assembly,7,Test switch connections,2.81,,,,,,
B6S,fluorescent,surface,battfluo1,Assembly,8,Extra time to connect light to batt.,1,,,,,,
B6S,fluorescent,surface,battfluo1,Assembly,9,Extra time to connect driver to batt.,2,,,,,,
B6S,fluorescent,surface,battfluo1,Assembly,10,Extra time for Battery test,0.2,,,,,,
B6S,fluorescent,surface,battfluo1,Assembly,11,Emergency labels,0.36,,,,,,
B6S,fluorescent,surface,battfluo1,Preparation,1,Remove battery & acc. from box,0.3,,,,,,
B6S,fluorescent,surface,battfluo1,Preparation,2,Cap unused lead wire (black or orange),0.33,,,,,,
B6S,fluorescent,surface,battfluo1,Preparation,3,Put ballast aside,0.08,,,,,,
B6SLED,led,surface,battled2,Assembly,3,Put battery in housing and fix with nuts,0.87,,,,,,
B6SLED,led,surface,battled2,Assembly,4,Inverter connections+get out wires,0.3,,,,,,
B6SLED,led,surface,battled2,Assembly,5,Indicator light connections+clip light,2,,,,,,
B6SLED,led,surface,battled2,Assembly,6,Test switch connections,2.81,,,,,,
B6SLED,led,surface,battled2,Assembly,7,Extra time to connecte driver to batt.,3,,,,,,
B6SLED,led,surface,battled2,Assembly,8,Extra time for Battery test,0.2,,,,,,
B6SLED,led,surface,battled2,Assembly,9,Emergency labels,0.36,,,,,,
B6SLED,led,surface,battled2,Preparation,1,Sub-assembly battery,0.3,,,,,,
B6SLED,led,surface,battled2,Preparation,2,Drill hole in reflector for invertor wires,0.45,,,,,,
B6SLEDPAT,led,surface,battled2,Assembly,3,Put battery in housing and fix with nuts,0.87,,,,,,
B6SLEDPAT,led,surface,battled2,Assembly,4,Inverter connections+get out wires,0.3,,,,,,
B6SLEDPAT,led,surface,battled2,Assembly,5,Indicator light connections+clip light,2,,,,,,
B6SLEDPAT,led,surface,battled2,Assembly,6,Test switch connections,2.81,,,,,,
B6SLEDPAT,led,surface,battled2,Assembly,7,Extra time to connecte driver to batt.,3,,,,,,
B6SLEDPAT,led,surface,battled2,Assembly,8,Extra time for Battery test,0.2,,,,,,
B6SLEDPAT,led,surface,battled2,Assembly,9,Emergency labels,0.36,,,,,,
B6SLEDPAT,led,surface,battled2,Preparation,1,Sub-assembly battery,0.3,,,,,,
B6SLEDPAT,led,surface,battled2,Preparation,2,Drill hole in reflector for invertor wires,0.45,,,,,,
B6SPAT,fluorescent,surface,battfluo1,Assembly,4,Put battery in housing and fix with screws,1.17,,,,,,
B6SPAT,fluorescent,surface,battfluo1,Assembly,5,Inverter connections+get out wires,0.3,,,,,,
B6SPAT,fluorescent,surface,battfluo1,Assembly,6,Indicator light connections+clip light,2,,,,,,
B6SPAT,fluorescent,surface,battfluo1,Assembly,7,Test switch connections,2.81,,,,,,
B6SPAT,fluorescent,surface,battfluo1,Assembly,8,Extra time to connect light to batt.,1,,,,,,
B6SPAT,fluorescent,surface,battfluo1,Assembly,9,Extra time to connect driver to batt.,2,,,,,,
B6SPAT,fluorescent,surface,battfluo1,Assembly,10,Extra time for Battery test,0.2,,,,,,
B6SPAT,fluorescent,surface,battfluo1,Assembly,11,Emergency labels,0.36,,,,,,
B6SPAT,fluorescent,surface,battfluo1,Preparation,1,Remove battery & acc. from box,0.3,,,,,,
B6SPAT,fluorescent,surface,battfluo1,Preparation,2,Cap unused lead wire (black or orange),0.33,,,,,,
B6SPAT,fluorescent,surface,battfluo1,Preparation,3,Put ballast aside,0.08,,,,,,
B6W,fluorescent,wall,battfluo1,Assembly,4,Put battery in housing and fix with screws,1.17,,,,,,
B6W,fluorescent,wall,battfluo1,Assembly,5,Inverter connections+get out wires,0.3,,,,,,
B6W,fluorescent,wall,battfluo1,Assembly,6,Indicator light connections+clip light,2,,,,,,
B6W,fluorescent,wall,battfluo1,Assembly,7,Test switch connections,2.81,,,,,,
B6W,fluorescent,wall,battfluo1,Assembly,8,Extra time to connect light to batt.,1,,,,,,
B6W,fluorescent,wall,battfluo1,Assembly,9,Extra time to connect driver to batt.,2,,,,,,
B6W,fluorescent,wall,battfluo1,Assembly,10,Extra time for Battery test,0.2,,,,,,
B6W,fluorescent,wall,battfluo1,Assembly,11,Emergency labels,0.36,,,,,,
B6W,fluorescent,wall,battfluo1,Preparation,1,Remove battery & acc. from box,0.3,,,,,,
B6W,fluorescent,wall,battfluo1,Preparation,2,Cap unused lead wire (black or orange),0.33,,,,,,
B6W,fluorescent,wall,battfluo1,Preparation,3,Put ballast aside,0.08,,,,,,
B6WD,fluorescent,wall,battfluo1,Assembly,4,Put battery in housing and fix with screws,1.17,,,,,,
B6WD,fluorescent,wall,battfluo1,Assembly,5,Inverter connections+get out wires,0.3,,,,,,
B6WD,fluorescent,wall,battfluo1,Assembly,6,Indicator light connections+clip light,2,,,,,,
B6WD,fluorescent,wall,battfluo1,Assembly,7,Test switch connections,2.81,,,,,,
B6WD,fluorescent,wall,battfluo1,Assembly,8,Extra time to connect light to batt.,1,,,,,,
B6WD,fluorescent,wall,battfluo1,Assembly,9,Extra time to connect driver to batt.,2,,,,,,
B6WD,fluorescent,wall,battfluo1,Assembly,10,Extra time for Battery test,0.2,,,,,,
B6WD,fluorescent,wall,battfluo1,Assembly,11,Emergency labels,0.36,,,,,,
B6WD,fluorescent,wall,battfluo1,Preparation,1,Remove battery & acc. from box,0.3,,,,,,
B6WD,fluorescent,wall,battfluo1,Preparation,2,Cap unused lead wire (black or orange),0.33,,,,,,
B6WD,fluorescent,wall,battfluo1,Preparation,3,Put ballast aside,0.08,,,,,,
B6WDLED,led,wall,battled2,Assembly,3,Put battery in housing and fix with nuts,0.87,,,,,,
B6WDLED,led,wall,battled2,Assembly,4,Inverter connections+get out wires,0.3,,,,,,
B6WDLED,led,wall,battled2,Assembly,5,Indicator light connections+clip light,2,,,,,,
B6WDLED,led,wall,battled2,Assembly,6,Test switch connections,2.81,,,,,,
B6WDLED,led,wall,battled2,Assembly,7,Extra time to connecte driver to batt.,3,,,,,,
B6WDLED,led,wall,battled2,Assembly,8,Extra time for Battery test,0.2,,,,,,
B6WDLED,led,wall,battled2,Assembly,9,Emergency labels,0.36,,,,,,
B6WDLED,led,wall,battled2,Preparation,1,Sub-assembly battery,0.3,,,,,,
B6WDLED,led,wall,battled2,Preparation,2,Drill hole in reflector for invertor wires,0.45,,,,,,
B6WDLEDPAT,led,wall,battled2,Assembly,3,Put battery in housing and fix with nuts,0.87,,,,,,
B6WDLEDPAT,led,wall,battled2,Assembly,4,Inverter connections+get out wires,0.3,,,,,,
B6WDLEDPAT,led,wall,battled2,Assembly,5,Indicator light connections+clip light,2,,,,,,
B6WDLEDPAT,led,wall,battled2,Assembly,6,Test switch connections,2.81,,,,,,
B6WDLEDPAT,led,wall,battled2,Assembly,7,Extra time to connecte driver to batt.,3,,,,,,
B6WDLEDPAT,led,wall,battled2,Assembly,8,Extra time for Battery test,0.2,,,,,,
B6WDLEDPAT,led,wall,battled2,Assembly,9,Emergency labels,0.36,,,,,,
B6WDLEDPAT,led,wall,battled2,Preparation,1,Sub-assembly battery,0.3,,,,,,
B6WDLEDPAT,led,wall,battled2,Preparation,2,Drill hole in reflector for invertor wires,0.45,,,,,,
B6WDPAT,fluorescent,wall,battfluo1,Assembly,4,Put battery in housing and fix with screws,1.17,,,,,,
B6WDPAT,fluorescent,wall,battfluo1,Assembly,5,Inverter connections+get out wires,0.3,,,,,,
B6WDPAT,fluorescent,wall,battfluo1,Assembly,6,Indicator light connections+clip light,2,,,,,,
B6WDPAT,fluorescent,wall,battfluo1,Assembly,7,Test switch connections,2.81,,,,,,
B6WDPAT,fluorescent,wall,battfluo1,Assembly,8,Extra time to connect light to batt.,1,,,,,,
B6WDPAT,fluorescent,wall,battfluo1,Assembly,9,Extra time to connect driver to batt.,2,,,,,,
B6WDPAT,fluorescent,wall,battfluo1,Assembly,10,Extra time for Battery test,0.2,,,,,,
B6WDPAT,fluorescent,wall,battfluo1,Assembly,11,Emergency labels,0.36,,,,,,
B6WDPAT,fluorescent,wall,battfluo1,Preparation,1,Remove battery & acc. from box,0.3,,,,,,
B6WDPAT,fluorescent,wall,battfluo1,Preparation,2,Cap unused lead wire (black or orange),0.33,,,,,,
B6WDPAT,fluorescent,wall,battfluo1,Preparation,3,Put ballast aside,0.08,,,,,,
B6WI,fluorescent,wall,battfluo1,Assembly,4,Put battery in housing and fix with screws,1.17,,,,,,
B6WI,fluorescent,wall,battfluo1,Assembly,5,Inverter connections+get out wires,0.3,,,,,,
B6WI,fluorescent,wall,battfluo1,Assembly,6,Indicator light connections+clip light,2,,,,,,
B6WI,fluorescent,wall,battfluo1,Assembly,7,Test switch connections,2.81,,,,,,
B6WI,fluorescent,wall,battfluo1,Assembly,8,Extra time to connect light to batt.,1,,,,,,
B6WI,fluorescent,wall,battfluo1,Assembly,9,Extra time to connect driver to batt.,2,,,,,,
B6WI,fluorescent,wall,battfluo1,Assembly,10,Extra time for Battery test,0.2,,,,,,
B6WI,fluorescent,wall,battfluo1,Assembly,11,Emergency labels,0.36,,,,,,
B6WI,fluorescent,wall,battfluo1,Preparation,1,Remove battery & acc. from box,0.3,,,,,,
B6WI,fluorescent,wall,battfluo1,Preparation,2,Cap unused lead wire (black or orange),0.33,,,,,,
B6WI,fluorescent,wall,battfluo1,Preparation,3,Put ballast aside,0.08,,,,,,
B6WILEDPAT,led,wall,battled2,Assembly,3,Put battery in housing and fix with nuts,0.87,,,,,,
B6WILEDPAT,led,wall,battled2,Assembly,4,Inverter connections+get out wires,0.3,,,,,,
B6WILEDPAT,led,wall,battled2,Assembly,5,Indicator light connections+clip light,2,,,,,,
B6WILEDPAT,led,wall,battled2,Assembly,6,Test switch connections,2.81,,,,,,
B6WILEDPAT,led,wall,battled2,Assembly,7,Extra time to connecte driver to batt.,3,,,,,,
B6WILEDPAT,led,wall,battled2,Assembly,8,Extra time for Battery test,0.2,,,,,,
B6WILEDPAT,led,wall,battled2,Assembly,9,Emergency labels,0.36,,,,,,
B6WILEDPAT,led,wall,battled2,Preparation,1,Sub-assembly battery,0.3,,,,,,
B6WILEDPAT,led,wall,battled2,Preparation,2,Drill hole in reflector for invertor wires,0.45,,,,,,
B6WIPAT,fluorescent,wall,battfluo1,Assembly,4,Put battery in housing and fix with screws,1.17,,,,,,
B6WIPAT,fluorescent,wall,battfluo1,Assembly,5,Inverter connections+get out wires,0.3,,,,,,
B6WIPAT,fluorescent,wall,battfluo1,Assembly,6,Indicator light connections+clip light,2,,,,,,
B6WIPAT,fluorescent,wall,battfluo1,Assembly,7,Test switch connections,2.81,,,,,,
B6WIPAT,fluorescent,wall,battfluo1,Assembly,8,Extra time to connect light to batt.,1,,,,,,
B6WIPAT,fluorescent,wall,battfluo1,Assembly,9,Extra time to connect driver to batt.,2,,,,,,
B6WIPAT,fluorescent,wall,battfluo1,Assembly,10,Extra time for Battery test,0.2,,,,,,
B6WIPAT,fluorescent,wall,battfluo1,Assembly,11,Emergency labels,0.36,,,,,,
B6WIPAT,fluorescent,wall,battfluo1,Preparation,1,Remove battery & acc. from box,0.3,,,,,,
B6WIPAT,fluorescent,wall,battfluo1,Preparation,2,Cap unused lead wire (black or orange),0.33,,,,,,
B6WIPAT,fluorescent,wall,battfluo1,Preparation,3,Put ballast aside,0.08,,,,,,
B6WLEDPAT,led,wall,battled2,Assembly,3,Put battery in housing and fix with nuts,0.87,,,,,,
B6WLEDPAT,led,wall,battled2,Assembly,4,Inverter connections+get out wires,0.3,,,,,,
B6WLEDPAT,led,wall,battled2,Assembly,5,Indicator light connections+clip light,2,,,,,,
B6WLEDPAT,led,wall,battled2,Assembly,6,Test switch connections,2.81,,,,,,
B6WLEDPAT,led,wall,battled2,Assembly,7,Extra time to connecte driver to batt.,3,,,,,,
B6WLEDPAT,led,wall,battled2,Assembly,8,Extra time for Battery test,0.2,,,,,,
B6WLEDPAT,led,wall,battled2,Assembly,9,Emergency labels,0.36,,,,,,
B6WLEDPAT,led,wall,battled2,Preparation,1,Sub-assembly battery,0.3,,,,,,
B6WLEDPAT,led,wall,battled2,Preparation,2,Drill hole in reflector for invertor wires,0.45,,,,,,
B6WPAT,fluorescent,wall,battfluo1,Assembly,4,Put battery in housing and fix with screws,1.17,,,,,,
B6WPAT,fluorescent,wall,battfluo1,Assembly,5,Inverter connections+get out wires,0.3,,,,,,
B6WPAT,fluorescent,wall,battfluo1,Assembly,6,Indicator light connections+clip light,2,,,,,,
B6WPAT,fluorescent,wall,battfluo1,Assembly,7,Test switch connections,2.81,,,,,,
B6WPAT,fluorescent,wall,battfluo1,Assembly,8,Extra time to connect light to batt.,1,,,,,,
B6WPAT,fluorescent,wall,battfluo1,Assembly,9,Extra time to connect driver to batt.,2,,,,,,
B6WPAT,fluorescent,wall,battfluo1,Assembly,10,Extra time for Battery test,0.2,,,,,,
B6WPAT,fluorescent,wall,battfluo1,Assembly,11,Emergency labels,0.36,,,,,,
B6WPAT,fluorescent,wall,battfluo1,Preparation,1,Remove battery & acc. from box,0.3,,,,,,
B6WPAT,fluorescent,wall,battfluo1,Preparation,2,Cap unused lead wire (black or orange),0.33,,,,,,
B6WPAT,fluorescent,wall,battfluo1,Preparation,3,Put ballast aside,0.08,,,,,,
BAS,fluorescent,pendant,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,,,,,
BAS,fluorescent,pendant,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,,,,,
BAS,fluorescent,pendant,battfluo4,Assembly,6,Indicator light connections+clip light,2,,,,,,
BAS,fluorescent,pendant,battfluo4,Assembly,7,Test switch connections,2.81,,,,,,
BAS,fluorescent,pendant,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,,,,,
BAS,fluorescent,pendant,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,,,,,
BAS,fluorescent,pendant,battfluo4,Assembly,10,Extra time for Battery test,0.2,,,,,,
BAS,fluorescent,pendant,battfluo4,Assembly,11,Emergency labels,0.36,,,,,,
BAS,fluorescent,pendant,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,,,,,
BAS,fluorescent,pendant,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,,,,,
BAS,fluorescent,pendant,battfluo4,Preparation,3,Put ballast aside,0.08,,,,,,
BASA,fluorescent,pendant,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,,,,,
BASA,fluorescent,pendant,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,,,,,
BASA,fluorescent,pendant,battfluo4,Assembly,6,Indicator light connections+clip light,2,,,,,,
BASA,fluorescent,pendant,battfluo4,Assembly,7,Test switch connections,2.81,,,,,,
BASA,fluorescent,pendant,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,,,,,
BASA,fluorescent,pendant,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,,,,,
BASA,fluorescent,pendant,battfluo4,Assembly,10,Extra time for Battery test,0.2,,,,,,
BASA,fluorescent,pendant,battfluo4,Assembly,11,Emergency labels,0.36,,,,,,
BASA,fluorescent,pendant,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,,,,,
BASA,fluorescent,pendant,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,,,,,
BASA,fluorescent,pendant,battfluo4,Preparation,3,Put ballast aside,0.08,,,,,,
BASS,fluorescent,surface,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,,,,,
BASS,fluorescent,surface,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,,,,,
BASS,fluorescent,surface,battfluo4,Assembly,6,Indicator light connections+clip light,2,,,,,,
BASS,fluorescent,surface,battfluo4,Assembly,7,Test switch connections,2.81,,,,,,
BASS,fluorescent,surface,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,,,,,
BASS,fluorescent,surface,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,,,,,
BASS,fluorescent,surface,battfluo4,Assembly,10,Extra time for Battery test,0.2,,,,,,
BASS,fluorescent,surface,battfluo4,Assembly,11,Emergency labels,0.36,,,,,,
BASS,fluorescent,surface,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,,,,,
BASS,fluorescent,surface,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,,,,,
BASS,fluorescent,surface,battfluo4,Preparation,3,Put ballast aside,0.08,,,,,,
BASW,fluorescent,wall,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,,,,,
BASW,fluorescent,wall,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,,,,,
BASW,fluorescent,wall,battfluo4,Assembly,6,Indicator light connections+clip light,2,,,,,,
BASW,fluorescent,wall,battfluo4,Assembly,7,Test switch connections,2.81,,,,,,
BASW,fluorescent,wall,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,,,,,
BASW,fluorescent,wall,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,,,,,
BASW,fluorescent,wall,battfluo4,Assembly,10,Extra time for Battery test,0.2,,,,,,
BASW,fluorescent,wall,battfluo4,Assembly,11,Emergency labels,0.36,,,,,,
BASW,fluorescent,wall,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,,,,,
BASW,fluorescent,wall,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,,,,,
BASW,fluorescent,wall,battfluo4,Preparation,3,Put ballast aside,0.08,,,,,,
BASWA,fluorescent,wall,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,,,,,
BASWA,fluorescent,wall,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,,,,,
BASWA,fluorescent,wall,battfluo4,Assembly,6,Indicator light connections+clip light,2,,,,,,
BASWA,fluorescent,wall,battfluo4,Assembly,7,Test switch connections,2.81,,,,,,
BASWA,fluorescent,wall,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,,,,,
BASWA,fluorescent,wall,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,,,,,
BASWA,fluorescent,wall,battfluo4,Assembly,10,Extra time for Battery test,0.2,,,,,,
BASWA,fluorescent,wall,battfluo4,Assembly,11,Emergency labels,0.36,,,,,,
BASWA,fluorescent,wall,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,,,,,
BASWA,fluorescent,wall,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,,,,,
BASWA,fluorescent,wall,battfluo4,Preparation,3,Put ballast aside,0.08,,,,,,
BB,fluorescent,pendant,battfluo3,Assembly,5,Put battery in housing and fix brkt with 5 screws,2.03,,,,,,
BB,fluorescent,pendant,battfluo3,Assembly,6,Inverter connections+get out wires,0.3,,,,,,
BB,fluorescent,pendant,battfluo3,Assembly,7,Indicator light connections+clip light,2,,,,,,
BB,fluorescent,pendant,battfluo3,Assembly,8,Test switch connections,2.81,,,,,,
BB,fluorescent,pendant,battfluo3,Assembly,9,Extra time to connect light to batt.,1,,,,,,
BB,fluorescent,pendant,battfluo3,Assembly,10,Extra time to connecte driver to batt.,2,,,,,,
BB,fluorescent,pendant,battfluo3,Assembly,11,Extra time for Battery test,0.2,,,,,,
BB,fluorescent,pendant,battfluo3,Assembly,12,Emergency labels,0.36,,,,,,
BB,fluorescent,pendant,battfluo3,Preparation,1,Remove battery & acc. from box,0.3,,,,,,
BB,fluorescent,pendant,battfluo3,Preparation,2,Cap unused lead wire (black or orange),0.33,,,,,,
BB,fluorescent,pendant,battfluo3,Preparation,3,Installed 2 brackets,1,,,,,,
BB,fluorescent,pendant,battfluo3,Preparation,4,Put ballast aside,0.08,,,,,,
BBD,fluorescent,pendant,battfluo1,Assembly,4,Put battery in housing and fix with screws,1.17,,,,,,
BBD,fluorescent,pendant,battfluo1,Assembly,5,Inverter connections+get out wires,0.3,,,,,,
BBD,fluorescent,pendant,battfluo1,Assembly,6,Indicator light connections+clip light,2,,,,,,
BBD,fluorescent,pendant,battfluo1,Assembly,7,Test switch connections,2.81,,,,,,
BBD,fluorescent,pendant,battfluo1,Assembly,8,Extra time to connect light to batt.,1,,,,,,
BBD,fluorescent,pendant,battfluo1,Assembly,9,Extra time to connect driver to batt.,2,,,,,,
BBD,fluorescent,pendant,battfluo1,Assembly,10,Extra time for Battery test,0.2,,,,,,
BBD,fluorescent,pendant,battfluo1,Assembly,11,Emergency labels,0.36,,,,,,
BBD,fluorescent,pendant,battfluo1,Preparation,1,Remove battery & acc. from box,0.3,,,,,,
BBD,fluorescent,pendant,battfluo1,Preparation,2,Cap unused lead wire (black or orange),0.33,,,,,,
BBD,fluorescent,pendant,battfluo1,Preparation,3,Put ballast aside,0.08,,,,,,
BBDILED,led,pendant,battled2,Assembly,3,Put battery in housing and fix with nuts,0.87,,,,,,
BBDILED,led,pendant,battled2,Assembly,4,Inverter connections+get out wires,0.3,,,,,,
BBDILED,led,pendant,battled2,Assembly,5,Indicator light connections+clip light,2,,,,,,
BBDILED,led,pendant,battled2,Assembly,6,Test switch connections,2.81,,,,,,
BBDILED,led,pendant,battled2,Assembly,7,Extra time to connecte driver to batt.,3,,,,,,
BBDILED,led,pendant,battled2,Assembly,8,Extra time for Battery test,0.2,,,,,,
BBDILED,led,pendant,battled2,Assembly,9,Emergency labels,0.36,,,,,,
BBDILED,led,pendant,battled2,Preparation,1,Sub-assembly battery,0.3,,,,,,
BBDILED,led,pendant,battled2,Preparation,2,Drill hole in reflector for invertor wires,0.45,,,,,,
BBDILEDPAT,led,pendant,battled2,Assembly,3,Put battery in housing and fix with nuts,0.87,,,,,,
BBDILEDPAT,led,pendant,battled2,Assembly,4,Inverter connections+get out wires,0.3,,,,,,
BBDILEDPAT,led,pendant,battled2,Assembly,5,Indicator light connections+clip light,2,,,,,,
BBDILEDPAT,led,pendant,battled2,Assembly,6,Test switch connections,2.81,,,,,,
BBDILEDPAT,led,pendant,battled2,Assembly,7,Extra time to connecte driver to batt.,3,,,,,,
BBDILEDPAT,led,pendant,battled2,Assembly,8,Extra time for Battery test,0.2,,,,,,
BBDILEDPAT,led,pendant,battled2,Assembly,9,Emergency labels,0.36,,,,,,
BBDILEDPAT,led,pendant,battled2,Preparation,1,Sub-assembly battery,0.3,,,,,,
BBDILEDPAT,led,pendant,battled2,Preparation,2,Drill hole in reflector for invertor wires,0.45,,,,,,
BBDLED,led,pendant,battled2,Assembly,3,Put battery in housing and fix with nuts,0.87,,,,,,
BBDLED,led,pendant,battled2,Assembly,4,Inverter connections+get out wires,0.3,,,,,,
BBDLED,led,pendant,battled2,Assembly,5,Indicator light connections+clip light,2,,,,,,
BBDLED,led,pendant,battled2,Assembly,6,Test switch connections,2.81,,,,,,
BBDLED,led,pendant,battled2,Assembly,7,Extra time to connecte driver to batt.,3,,,,,,
BBDLED,led,pendant,battled2,Assembly,8,Extra time for Battery test,0.2,,,,,,
BBDLED,led,pendant,battled2,Assembly,9,Emergency labels,0.36,,,,,,
BBDLED,led,pendant,battled2,Preparation,1,Sub-assembly battery,0.3,,,,,,
BBDLED,led,pendant,battled2,Preparation,2,Drill hole in reflector for invertor wires,0.45,,,,,,
BBDLEDPAT,led,pendant,battled2,Assembly,3,Put battery in housing and fix with nuts,0.87,,,,,,
BBDLEDPAT,led,pendant,battled2,Assembly,4,Inverter connections+get out wires,0.3,,,,,,
BBDLEDPAT,led,pendant,battled2,Assembly,5,Indicator light connections+clip light,2,,,,,,
BBDLEDPAT,led,pendant,battled2,Assembly,6,Test switch connections,2.81,,,,,,
BBDLEDPAT,led,pendant,battled2,Assembly,7,Extra time to connecte driver to batt.,3,,,,,,
