 Product ID , Flange , Work Center , Length , Task ,Time(min),, Sum of Time(min) , Column Labels ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6 , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,,, Housing Assembly ,,,,,,,,,,,,, Housing Assembly Total , Subassembly ,,, Subassembly Total , Drilling ,,, Drilling Total , Grand Total ,,,,,,,,,
 RAY8P , - , Housing Assembly , CAD 4.00 , set-up ,0.00,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 RAY8S , - , Housing Assembly , CAD 4.00 , set-up ,0.00,, CUW ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 RAY8W , - , Housing Assembly , CAD 4.00 , set-up ,0.00,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 SL , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, CUWA ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 SLW , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 SL2HLED , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, D5 ,6.00,6.00,6.00,,,,,,,,,,,18.00,,,,,6.00,6.00,6.00,18.00,36.00,,,,,,,,,
 SL2LLED , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, B ,2.00,2.00,2.00,,,,,,,,,,,6.00,,,,,2.00,2.00,2.00,6.00,12.00,,,,,,,,,
 SLLED , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, BC ,2.00,2.00,2.00,,,,,,,,,,,6.00,,,,,2.00,2.00,2.00,6.00,12.00,,,,,,,,,
 SLWLED , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, SLC ,2.00,2.00,2.00,,,,,,,,,,,6.00,,,,,2.00,2.00,2.00,6.00,12.00,,,,,,,,,
 SOL , - , Housing Assembly , CAD 4.00 , set-up ,0.00,, D5S ,6.00,6.00,6.00,,,,,,,,,,,18.00,,,,,6.00,6.00,6.00,18.00,36.00,,,,,,,,,
 SOLS , - , Housing Assembly , CAD 4.00 , set-up ,0.00,, B ,2.00,2.00,2.00,,,,,,,,,,,6.00,,,,,2.00,2.00,2.00,6.00,12.00,,,,,,,,,
 SOLW , - , Housing Assembly , CAD 4.00 , set-up ,0.00,, BC ,2.00,2.00,2.00,,,,,,,,,,,6.00,,,,,2.00,2.00,2.00,6.00,12.00,,,,,,,,,
 B6 , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, SLC ,2.00,2.00,2.00,,,,,,,,,,,6.00,,,,,2.00,2.00,2.00,6.00,12.00,,,,,,,,,
 B6D , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, D5W ,6.00,6.00,6.00,,,,,,,,,,,18.00,,,,,6.00,6.00,6.00,18.00,36.00,,,,,,,,,
 B6DLED , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, B ,2.00,2.00,2.00,,,,,,,,,,,6.00,,,,,2.00,2.00,2.00,6.00,12.00,,,,,,,,,
 B6DLEDPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, BC ,2.00,2.00,2.00,,,,,,,,,,,6.00,,,,,2.00,2.00,2.00,6.00,12.00,,,,,,,,,
 B6DPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, SLC ,2.00,2.00,2.00,,,,,,,,,,,6.00,,,,,2.00,2.00,2.00,6.00,12.00,,,,,,,,,
 B6I , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, DAYC ,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6ILEDPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6IPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, DAYF ,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6LEDPAT , - , Housing Assembly , CAD 8.00 , set-up ,20.67,, - ,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6PAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, DIA ,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6R , Flangeless , Housing Assembly , CAD 8.00 , set-up ,5.50,, TB9 ,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6R , Spackle Flange , Housing Assembly , CAD 8.00 , set-up ,2.25,, TG15 ,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6R , With Flanges , Housing Assembly , CAD 8.00 , set-up ,2.25,, TB15 ,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6RLED , Flangeless , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, TG9 ,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6RLED , Spackle Flange , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, DF ,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6RLED , With Flanges , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, SM ,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6RLEDPAT , Flangeless , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, DIALED ,,,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6RLEDPAT , Spackle Flange , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, TB9 ,,,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6RLEDPAT , With Flanges , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, TG15 ,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6RPAT , Flangeless , Housing Assembly , CAD 8.00 , set-up ,5.50,, TB15 ,,,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6RPAT , Spackle Flange , Housing Assembly , CAD 8.00 , set-up ,2.25,, TG9 ,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6RPAT , With Flanges , Housing Assembly , CAD 8.00 , set-up ,2.25,, DF ,,,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6RV , Flangeless , Housing Assembly , CAD 8.00 , set-up ,5.50,, SM ,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6RV , Spackle Flange , Housing Assembly , CAD 8.00 , set-up ,2.25,, DUO ,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6RV , With Flanges , Housing Assembly , CAD 8.00 , set-up ,2.25,, TB9 ,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6RVLED , Flangeless , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, TG15 ,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6RVLED , Spackle Flange , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, TB15 ,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6RVLED , With Flanges , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, TG9 ,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6S , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, DF ,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6SLED , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, SM ,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 B6SLEDPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, EL ,0.00,,,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 B6SPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,0.00,,,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 B6W , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, ELS ,,0.00,,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 B6WD , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,,0.00,,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 B6WDLED , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, ELW ,,,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 B6WDLEDPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,,,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 B6WDPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, FL ,13.00,13.00,13.00,,,,,,,,,,,39.00,,,,,,,,,39.00,,,,,,,,,
 B6WI , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,13.00,13.00,13.00,,,,,,,,,,,39.00,,,,,,,,,39.00,,,,,,,,,
 B6WILEDPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, FLW ,13.00,13.00,13.00,,,,,,,,,,,39.00,,,,,,,,,39.00,,,,,,,,,
 B6WIPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,13.00,13.00,13.00,,,,,,,,,,,39.00,,,,,,,,,39.00,,,,,,,,,
 B6WLEDPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, L2 ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6WPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BB , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, L2A ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBD , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBDILED , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, L2S ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBDILEDPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBDLED , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, L2W ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBDLEDPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBDPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, L2WA ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBI , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBILED , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, LT ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBILED2 , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBILEDPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, LTA ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBIPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBLED2 , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, LTW ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBLEDPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, LTWA ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBR , Flangeless , Housing Assembly , CAD 8.00 , set-up ,5.50,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBR , Spackle Flange , Housing Assembly , CAD 8.00 , set-up ,2.25,, MB ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBR , With Flanges , Housing Assembly , CAD 8.00 , set-up ,2.25,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBRLED , Flangeless , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, MBLED ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBRLED , Spackle Flange , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBRLED , With Flanges , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, MBS ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBRLEDPAT , Flangeless , Housing Assembly , CAD 8.00 , set-up ,20.670,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBRLEDPAT , Spackle Flange , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, MBSLED ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBRLEDPAT , With Flanges , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBRPAT , Flangeless , Housing Assembly , CAD 8.00 , set-up ,5.50,, MBST ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBRPAT , Spackle Flange , Housing Assembly , CAD 8.00 , set-up ,2.25,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBRPAT , With Flanges , Housing Assembly , CAD 8.00 , set-up ,2.25,, MBT ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBRV , Flangeless , Housing Assembly , CAD 8.00 , set-up ,5.50,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBRV , Spackle Flange , Housing Assembly , CAD 8.00 , set-up ,2.25,, MBW ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBRV , With Flanges , Housing Assembly , CAD 8.00 , set-up ,2.25,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBRVLED , Flangeless , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, MBWLED ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBRVLED , Spackle Flange , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBRVLED , With Flanges , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, MBWT ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBS , - , Housing Assembly , CAD 8.00 , set-up ,0.00,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBSLED , - , Housing Assembly , CAD 8.00 , set-up ,0.00,, MBWV ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBSLEDPAT , - , Housing Assembly , CAD 8.00 , set-up ,0.00,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBSPAT , - , Housing Assembly , CAD 8.00 , set-up ,0.00,, MBWVLED ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBW , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBWD , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, PICD ,1.00,1.00,1.00,,,,,,,,,,,3.00,,,,,,,,,3.00,,,,,,,,,
 BBWDILED , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,1.00,1.00,1.00,,,,,,,,,,,3.00,,,,,,,,,3.00,,,,,,,,,
 BBWDLED , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, PICI ,1.00,1.00,1.00,,,,,,,,,,,3.00,,,,,,,,,3.00,,,,,,,,,
 BBWDLEDPAT , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, - ,1.00,1.00,1.00,,,,,,,,,,,3.00,,,,,,,,,3.00,,,,,,,,,
 BBWDPAT , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, PICR ,1.00,1.00,0.00,,,,,,,,,,,2.00,,,,,,,,,2.00,,,,,,,,,
 BBWI , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, - ,1.00,1.00,0.00,,,,,,,,,,,2.00,,,,,,,,,2.00,,,,,,,,,
 BBWILED , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, PICWD ,1.00,1.00,1.00,,,,,,,,,,,3.00,,,,,,,,,3.00,,,,,,,,,
 BBWILEDPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,1.00,1.00,1.00,,,,,,,,,,,3.00,,,,,,,,,3.00,,,,,,,,,
 BBWIPAT , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, PICWI ,1.00,1.00,1.00,,,,,,,,,,,3.00,,,,,,,,,3.00,,,,,,,,,
 BBWLEDPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,1.00,1.00,1.00,,,,,,,,,,,3.00,,,,,,,,,3.00,,,,,,,,,
 BBWPAT , - , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, PICWR ,1.00,1.00,0.00,,,,,,,,,,,2.00,,,,,,,,,2.00,,,,,,,,,
 BD , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, - ,1.00,1.00,0.00,,,,,,,,,,,2.00,,,,,,,,,2.00,,,,,,,,,
 BDI , - , Housing Assembly , CAD 8.00 , set-up ,20.67,, PMD ,3.00,3.00,3.00,,,,,,,,,,,9.00,,,,,,,,,9.00,,,,,,,,,
 BDIW , - , Housing Assembly , CAD 8.00 , set-up ,20.67,, - ,3.00,3.00,3.00,,,,,,,,,,,9.00,,,,,,,,,9.00,,,,,,,,,
 BDLED , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, PMI ,3.00,3.00,3.00,,,,,,,,,,,9.00,,,,,,,,,9.00,,,,,,,,,
 BDLEDPAT , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, - ,3.00,3.00,3.00,,,,,,,,,,,9.00,,,,,,,,,9.00,,,,,,,,,
 BDPAT , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, PMR ,3.00,3.00,3.00,,,,,,,,,,,9.00,,,,,,,,,9.00,,,,,,,,,
 BI , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, - ,3.00,3.00,3.00,,,,,,,,,,,9.00,,,,,,,,,9.00,,,,,,,,,
 BILED , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, PMRLED ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BILEDPAT , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BIPAT , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, PMWD ,4.00,4.00,4.00,,,,,,,,,,,12.00,,,,,,,,,12.00,,,,,,,,,
 BLEDPAT , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, - ,4.00,4.00,4.00,,,,,,,,,,,12.00,,,,,,,,,12.00,,,,,,,,,
 BMD , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, PMWI ,4.00,4.00,4.00,,,,,,,,,,,12.00,,,,,,,,,12.00,,,,,,,,,
 BMDLED , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, - ,4.00,4.00,4.00,,,,,,,,,,,12.00,,,,,,,,,12.00,,,,,,,,,
 BMDLEDPAT , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, PMWR ,4.00,4.00,4.00,,,,,,,,,,,12.00,,,,,,,,,12.00,,,,,,,,,
 BMDPAT , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, - ,4.00,4.00,4.00,,,,,,,,,,,12.00,,,,,,,,,12.00,,,,,,,,,
 BMI , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, PO ,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 BMILED , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, TB9 ,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 BMILEDPAT , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, TG15 ,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 BMIPAT , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, TB15 ,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 BMLEDPAT , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, TG9 ,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 BMR , Flangeless , Housing Assembly , CAD 8.00 , set-up ,5.50,, DF ,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 BMR , Spackle Flange , Housing Assembly , CAD 8.00 , set-up ,2.25,, SM ,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 BMR , With Flanges , Housing Assembly , CAD 8.00 , set-up ,2.25,, POLED ,,,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 BMRLED , Flangeless , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, TB9 ,,,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 BMRLED , Spackle Flange , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, TG15 ,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 BMRLED , With Flanges , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, TB15 ,,,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 BMRLEDPAT , Flangeless , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, TG9 ,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 BMRLEDPAT , Spackle Flange , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, DF ,,,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 BMRLEDPAT , With Flanges , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, SM ,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,,,,,,,
 BMRPAT , Flangeless , Housing Assembly , CAD 8.00 , set-up ,5.50,, PR ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BMRPAT , Spackle Flange , Housing Assembly , CAD 8.00 , set-up ,2.25,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BMRPAT , With Flanges , Housing Assembly , CAD 8.00 , set-up ,2.25,, PRLED ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BMRV , Flangeless , Housing Assembly , CAD 8.00 , set-up ,5.50,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BMRV , Spackle Flange , Housing Assembly , CAD 8.00 , set-up ,2.25,, PRS ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BMRV , With Flanges , Housing Assembly , CAD 8.00 , set-up ,2.25,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BMRVLED , Flangeless , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, PRSLED ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BMRVLED , Spackle Flange , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BMRVLED , With Flanges , Housing Assembly , CAD 8.00 , set-up , CAD 20.67 ,, PRW ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BMS , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BMSLED , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, PRWLED ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BMSLEDPAT , - , Housing Assembly , CAD 8.00 , set-up ,5.50,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
